"super_id","school_id","school_name","num_applicants","pct_accepted","incoming_class_size","avg_gpa","avg_SAT","pct_STEM"
"SUP1011",54,"University of Notre Dame",17456,6.21,1455,3.51,1359,41.23
"SUP1011",55,"University of Chicago",42366,6.13,1045,3.89,1558,40
"SUP1012",56,"University of California, Los Angeles",42904,7.36,1700,3.98,1438,31.19
"SUP1012",57,"University of California, San Diego",9759,13.72,1213,3.81,1531,41.16
"SUP1012",58,"University of Southern California",9483,6.19,1987,3.6,1410,30.9
"SUP1012",59,"University of Pennsylvania",5725,7.53,1322,3.61,1330,46.94
"SUP1012",60,"University of Virginia",15105,9.44,1000,3.63,1325,56.41
"SUP1013",61,"University of Texas at Austin",4916,14.72,1567,3.99,1593,30.97
"SUP1013",62,"University of Wisconsin-Madison",3528,7.14,1514,3.7,1331,59.27
"SUP1013",63,"University of Florida",43207,5.53,1945,3.74,1356,34.35
"SUP1013",64,"University of Georgia",4902,12.34,1104,3.58,1395,49.15
"SUP1013",65,"University of Iowa",17996,9.09,1986,3.57,1383,36.47
"SUP1014",66,"University of Kentucky",39077,11.28,1974,3.56,1455,32.3
"SUP1014",67,"University of Utah",7708,9.3,1950,3.78,1591,39.55
"SUP1014",68,"University of Tennessee",27076,12.07,1733,3.83,1417,59.91
"SUP1014",69,"University of Arizona",26530,14.08,1807,3.69,1424,39.35
"SUP1014",70,"University of Kansas",33000,9.73,1043,3.82,1590,39.88
"SUP1015",71,"Boston College",4282,13.79,1583,3.57,1376,36.78
"SUP1015",72,"University of Wisconsin",12992,5.87,1644,3.94,1457,49.89
"SUP1015",73,"University of Oklahoma",29234,5.38,1860,3.58,1440,30.81
"SUP1015",74,"University of Arizona",10112,9.23,1463,3.85,1359,53.83
"SUP1015",75,"University of Oregon",20241,12.27,1952,3.68,1367,50.48
"SUP1016",76,"University of Colorado Boulder",22732,5.66,1796,3.67,1471,59.71
"SUP1016",77,"University of Minnesota",42823,7.93,1975,3.55,1542,49.98
"SUP1016",78,"University of Maryland",17746,12.17,1605,3.72,1508,55.14
"SUP1016",79,"University of Alabama",9570,9.89,1008,3.99,1419,55.93
"SUP1016",80,"University of Pittsburgh",31420,12.76,1623,3.9,1577,49.32
"SUP1017",81,"University of South Carolina",35836,12.06,1993,3.63,1316,42.26
"SUP1017",82,"University of Missouri",26953,8.01,1966,3.56,1390,32.65
"SUP1017",83,"University of Oklahoma",39552,10.75,1851,3.96,1411,39.84
"SUP1017",84,"University of Kansas",7873,9.76,1854,3.59,1373,39.36
"SUP1017",85,"University of Washington",40880,10.12,1561,3.77,1343,33.4
"SUP1018",86,"University of Michigan",25763,5.84,1105,3.82,1392,33.3
"SUP1018",87,"University of California, Davis",23334,8.48,1735,3.54,1351,46.17
"SUP1018",88,"University of North Carolina",10699,14.64,1788,3.51,1442,54.19
"SUP1018",89,"University of Chicago",37673,5.37,1773,3.85,1567,43.66
"SUP1018",90,"University of Miami",23662,12.86,1124,3.78,1358,43.55
"SUP1019",91,"University of Texas",45157,9.17,1427,3.75,1509,56.11
"SUP1019",92,"University of Alabama",49904,6.18,1877,3.59,1399,48.17
"SUP1019",93,"University of Iowa",47313,12.91,1724,3.94,1453,32.58
"SUP1019",94,"University of Utah",10589,5.06,1335,3.67,1531,33.03
"SUP1019",95,"University of Oregon",13073,6.58,1637,3.93,1446,55.29
"SUP1020",96,"University of Toronto",1993,14.68,1209,3.67,1572,45.14
"SUP1020",97,"University of Oxford",32680,12.63,1506,3.99,1406,40.2
"SUP1020",98,"University of Cambridge",24767,9.7,1944,3.97,1304,31.48
"SUP1020",99,"Australian National University",15191,12.85,1229,3.51,1523,47.15
"SUP1020",100,"University of Melbourne",4264,5.44,1831,3.5,1562,46.94
